sim,total_net_income,default_rate_annual,lgd,margin_shock,macro_factor
2863,-2853933.3551624976,0.08825169391310206,0.28373421034361407,-0.014667842026404665,-0.7942573445992704
2864,680165.4143586475,0.029029567737629644,0.3715966842979901,-0.02185237805337562,-0.6259062289491389
2865,-10298567.997695195,0.04630243448740614,0.5312277047134659,-0.03,-1.2235839110617803
2866,-42056814.60628737,0.10976663755910392,0.8027359785447549,-0.03,-1.783115686893549
2867,-6371378.871197224,0.09221918054088318,0.5978663435477136,0.00839198653254983,-1.099506986648496
2868,3293936.535777012,0.05895708244369614,0.344016494651614,-0.007129918091279441,-0.2668432720982738
2869,25977265.458594427,0.035886730859112745,0.3356524485359325,0.03,0.4001529638867084
2870,10953136.50536969,0.057849549978632536,0.23824114367408905,0.001688415958680145,0.9111258440443519
2871,2874354.93399895,0.07348945485412867,0.5364826345296696,0.011174526218290116,0.44625076405985364
2872,24758866.299582347,0.019390160348259702,0.2,0.019395764668816665,0.9976691135980253
2873,18306981.503757406,0.05843189061418086,0.24506277612502003,0.016933444335659457,0.1724960990323319
2874,11017835.704747915,0.05391465171946956,0.2,-0.0011813982466102146,-0.06311569132977517
2875,4121536.0404080637,0.03731156831853299,0.40807514524358957,-0.01053100425833242,0.07568587036596909
2876,20874874.132797312,0.043729192475647015,0.2,0.016495586760724008,0.3779655755235219
2877,12872817.732449234,0.04435665346482823,0.4137160086849256,0.010096693094987588,-0.5954822864430015
2878,534921.9567629956,0.0555663815635248,0.47403261956483267,-0.006589878674177323,-0.5244542128290394
2879,8424236.501135096,0.05341249137515269,0.4270298860253585,0.005657203106532112,-0.8851989490039494
2880,3274725.4509225413,0.05976051250710339,0.26902406601950263,-0.01137353303608461,-0.010025851986780639
2881,26335125.886579845,0.01,0.2,0.02067025177315976,1.0849845350839589
2882,-1447410.4011930618,0.05669332638110433,0.389695318210343,-0.014801696937898835,-0.4864963825977661
2883,29736499.329181734,0.011225958924401945,0.40326188365042104,0.03,1.3331162889252157
2884,8775031.658919286,0.0735768256086933,0.5282596266995953,0.022417729747628092,0.09738927517017688
2885,31000000.000000026,0.01,0.2,0.03,1.8249849162168217
2886,22190382.556591496,0.03178701876277547,0.24865650117531174,0.018284813981528796,0.5569161527640661
2887,4716155.613997417,0.047061649040761336,0.23716470932255987,-0.013406326457012686,-0.7415980065263982
2888,-6708903.360052014,0.044869523325454255,0.5430230762943635,-0.023052620132054176,-0.313247785321797
2889,15553532.953302393,0.038702722636085034,0.2711866407389303,0.00760272724573526,1.147719040105178
2890,16182775.859738514,0.01,0.3004219476716547,0.0013697711961935522,1.276754814912999
2891,6512077.846759882,0.04333337875909536,0.40643946536221026,-0.0033634490112953532,-0.3469298048582003
2892,16238359.498124115,0.028350467446915613,0.3838139473652558,0.00935802381669909,0.2116987594698118
2893,8682995.66382293,0.01,0.55561033162964,-0.01107790535605775,-0.9869192077450982
2894,12761321.18486809,0.048797981234121886,0.3366374722922423,0.00794987142535525,0.5664655247862109
2895,753073.8839297593,0.05715075619850006,0.7760954537359122,0.011860589831084942,-0.914038092573377
2896,10934861.46078173,0.02010257382733119,0.6037301989442179,6.253817628933956e-06,0.792970884978393
2897,31000000.000000026,0.01,0.2,0.03,1.389345120805054
2898,6952079.660212957,0.05973336950728006,0.2,-0.00814916677811806,0.5249742281141881
2899,-10906659.863734927,0.10256338575069826,0.36934333348325865,-0.01793221694097761,-1.2105851651398536
2900,-1013541.8968482651,0.048444307252932056,0.5773199549608032,-0.008059218512326513,0.10085809990438051
2901,-21110812.37689727,0.09442731706293758,0.5523347720290219,-0.024066134110524728,-0.6204262062534526
2902,12437613.995040195,0.023679796045650094,0.5531860339643948,0.003974560449659264,0.5776756288669925
2903,27113017.032248873,0.03757461002398144,0.2,0.02774095606929397,1.8560598813167035
2904,21252911.238589067,0.022397887608979872,0.35244970355150296,0.016399951325143002,1.0928875578409072
2905,10890395.1823081,0.05058691734760867,0.6118159342812807,0.01873067246405338,0.08136994395373587
2906,13939649.645545011,0.05403060560241753,0.33349907664957557,0.011898456370313695,1.0664335878643247
2907,-30538273.937219895,0.1153238265331399,0.6389019002309939,-0.021395935960507196,-1.1565188004995823
2908,-539010.4942755345,0.07323288824140976,0.36329612434477404,-0.008472796515872943,-1.441233333364019
2909,3143603.8846061565,0.09517099436983753,0.2941178101242014,0.0002786922206115952,-0.1266856531587185
2910,-457660.24502768274,0.01,0.4915320490055365,-0.03,0.4243511092180204
2911,-12993026.81567343,0.05869322853501433,0.5108946019805032,-0.03,-1.053454577809757
2912,-21896769.67063144,0.08517761226348386,0.7640337671230436,-0.012714967369047344,-1.4197173831764305
2913,-4747430.053023268,0.0723791790849259,0.5719534686108999,-0.0020973375732137034,-0.41142688862626897
