sim,total_net_income,default_rate,lgd,margin_shock
8971,-6242735.708176501,0.08767578398715281,0.3031540436744006,-0.0014548255114577404
8972,-3252230.981454416,0.050479612425364404,0.40825439409293857,-0.0014346328750399187
8973,7690135.754691998,0.05644603357827289,0.24061898203128199,0.02779460717775403
8974,-25306152.875097577,0.09685302516415642,0.557963540207288,-0.02243642416357421
8975,7658913.656705321,0.03549318826434958,0.41600957090556995,0.03
8976,-33016903.52078541,0.0934471679594509,0.7058693842615644,-0.02932258124533682
8977,-28616870.396578766,0.08812787878171793,0.8725364433988654,0.00949713794753242
8978,-3348091.4661535826,0.06894785861070037,0.3546807071366382,0.005754017669428856
8979,-29948915.088884078,0.15470273326647832,0.4530083211009587,-0.009146632218343673
8980,6040538.616985689,0.05986289700778659,0.20364656787480684,0.0185677719724266
8981,-20449207.915920354,0.08972774375540053,0.5355518338419406,-0.015104048755022057
8982,3328714.0213344814,0.02177431349233,0.6677150109822737,0.012517634128521155
8983,-20108233.01241679,0.05884304026252807,0.6763722469233442,-0.03
8984,-2874496.590420222,0.042047289040265425,0.6085921148547986,0.009850469600168608
8985,6552938.71713247,0.07601832511806629,0.21546785786812003,0.0288237044711679
8986,-48745209.975374974,0.12018990500389673,0.8393202429090268,-0.022516589549507863
8987,-7588757.956843602,0.09018186437940681,0.3804224067526877,0.008451841270107337
8988,11361079.112893201,0.030921575503922237,0.2,0.027684865560467297
8989,-20052048.25603593,0.0878928773961454,0.5885041110627747,-0.006318905241909232
8990,-19713222.596033186,0.10853357805793512,0.429861370455914,-0.014961414926423213
8991,-38715149.55490521,0.11678858671830677,0.7445230801204539,-0.010449509777144792
8992,844110.8741019294,0.11462497004516148,0.2,0.019239112965054754
8993,-27878838.46575777,0.08774733977265126,0.7767343996385043,-0.0047894419409758564
8994,-12962012.697540496,0.12753679364207163,0.2,-0.03
8995,-23868109.696641613,0.10946650193821078,0.5645434194013026,-0.001516641467251888
8996,-7596164.755894381,0.05556330836486968,0.33142241825795415,-0.02284079374509752
8997,794726.1023819037,0.06413402019207462,0.44428652754393616,0.03
8998,3436118.5612927647,0.04657365415097812,0.2,0.0026628877759629676
8999,-7547634.4354891665,0.06063856025953109,0.4238243141010303,-0.008318372447688977
9000,-6154767.098261619,0.06590123220009679,0.3946275988650198,-0.002235585254727015
9001,-128597.8265543133,0.08614971376508615,0.2,0.004208682819492379
9002,-28316678.53525286,0.1312447108971216,0.48628862028509806,-0.015037142994022036
9003,-16037390.373374622,0.06974478276073043,0.4539137241088028,-0.03
9004,-3419229.8937053047,0.10502170104342906,0.21619577179751498,0.0020330254265471027
9005,-7906266.746278338,0.07892982917594485,0.4152661519292099,0.00419216972151052
9006,2412656.567516527,0.03499777184101584,0.35355629505658226,0.004653761998121065
9007,-18456020.763995986,0.08461101515595706,0.6490036831000451,0.006231119224376218
9008,-49766979.680273436,0.12776838823739092,0.8352082878847705,-0.01505719850819463
9009,-14176438.39317109,0.0721029238148641,0.6096805771949134,0.0015217221427115612
9010,-620783.4458917305,0.06407663778344382,0.331315956034271,0.010140417603081852
9011,-22170425.45101591,0.12226618154610253,0.4087540732986958,-0.018093215413215555
9012,-656096.6606987892,0.03535577750207937,0.4268304869391601,-0.002074628709650663
9013,-8034356.997034622,0.08524723416699724,0.3327583673287107,-0.004987508590237916
9014,11677157.903245587,0.03078268448254303,0.2,0.028873808596065215
9015,1293197.8655630033,0.06557196445932276,0.3969586856143277,0.027112963716816152
9016,-1410642.8473003488,0.07538753723398502,0.24197523951407632,0.001155341017644305
9017,-5718808.56058882,0.09527328174826998,0.2386961959482437,-0.006943437099725285
9018,-2433801.558131613,0.07430243186432489,0.3582787623294771,0.013613206970801477
9019,-2585277.514607394,0.04934043731847372,0.44927327101518716,0.004255969780017829
9020,-2521545.5411221907,0.03484669000474392,0.4788041875474286,-0.0062787212835525
9021,-1818596.0456969496,0.08402219715894477,0.3348068232792588,0.019004615392136374
9022,-9263658.195075842,0.07292305226359748,0.4222077202103517,-0.005059621134081019
9023,-3482916.337642622,0.07799188606734513,0.2,-0.012198273039638448
9024,2794855.9234934803,0.055813819263947316,0.21580910058308067,0.005511164555631605
9025,-2219505.4264799207,0.09165745238846894,0.2759627567992554,0.011845965356115205
9026,-10960099.854819346,0.134170863923306,0.2,-0.01951349559011964
9027,-2145419.389967789,0.0917841526748849,0.2,-0.0015095244163119525
9028,-24732430.086099274,0.08043752575978655,0.6952138425849631,-0.016479171411233517
9029,-40107.31895345636,0.03188766104401029,0.4854296873488673,0.0011127921828990406
9030,-6883698.132790237,0.11973457579594252,0.2,-0.009155044799459593
9031,-15684536.15368838,0.08223779409718965,0.4393423257178578,-0.019813498859300598
9032,-10075734.194679838,0.10717828543980923,0.39917141173557774,0.015339749082716804
9033,-17627047.00528153,0.06967951363108466,0.7815288997178298,0.00859500251228604
9034,-40066256.74858242,0.11690266568988078,0.782016468814964,-0.00697581051667151
9035,-15923002.303409409,0.08782330323273672,0.5522921352247514,0.003589734540485596
9036,-3972035.9443091583,0.09255432235917718,0.25275253610453974,0.0012116743903623085
9037,3305622.244204065,0.03860993447949483,0.3643055658837477,0.01149585282169496
9038,-9986523.84642895,0.12093804516141224,0.32459484480970063,0.008753085195867464
9039,-3042572.9261440523,0.09151896531415155,0.2,-0.005143644831720216
9040,-12939694.651344039,0.10414873297347164,0.24448422855520652,-0.03
9041,13270172.290267345,0.011858298709750428,0.2987771550977567,0.03
9042,10607738.423961159,0.039121530242311346,0.226674581246827,0.03
9043,-45276105.45869982,0.10519318562536589,0.8596222931034195,-0.029427810107414347
9044,12398082.271469181,0.026435843951974784,0.2,0.03
9045,-12550001.323198538,0.0835913582459328,0.4692329422502198,-0.001395771154031169
9046,-44264100.23942226,0.1337119888999581,0.6589650975732774,-0.03
9047,-6714706.63053499,0.07027848379220275,0.2662597158618841,-0.018787706495778437
9048,-5678296.493100485,0.07758261329291494,0.3885035615786844,0.007772843137072038
9049,13510362.74422756,0.01,0.3062607844878199,0.03
9050,-2823137.727678557,0.041823290822956175,0.42469721736918475,-0.005345652895000882
9051,-10461821.997033013,0.09271327879415574,0.4714000104990021,0.01563553430077888
9052,7671457.074976696,0.02504625243397251,0.5209598404826632,0.026670831126513295
9053,-15528554.419432085,0.09153475298829407,0.45650999832025085,-0.008073269978885482
9054,-15090136.53881649,0.07994623218765487,0.5827170279153265,0.003093293906464064
9055,174903.46178137884,0.10392304226041389,0.25261892428367194,0.02315291947739367
9056,3144911.7325726617,0.044073684835345045,0.5398575126422538,0.03
9057,714293.5176409557,0.07783520580516015,0.306213872974864,0.020516997099034064
9058,9774368.25289726,0.052034526648869,0.2,0.029748803610954142
9059,-2754337.761886444,0.04529881187826489,0.5172773671429759,0.006078769742926477
9060,-955933.4114723932,0.11450185100952712,0.2,0.01210853123729967
9061,-6845036.770674171,0.08543108244788918,0.3962515646079102,0.010482871891360965
9062,-15153106.475009684,0.0945076917312163,0.48072959068166954,0.0005765855977659135
9063,-27918217.839144297,0.08994896738035894,0.6348574633401063,-0.026685237541898905
9064,14041666.66666666,0.01,0.2,0.03
9065,2631810.406092128,0.06238202871833559,0.24084665879641612,0.010730735733647499
9066,10218607.016728237,0.026676371250545602,0.2,0.021519649082424177
9067,9479138.51270667,0.040643032126218885,0.2,0.02410534449309603
9068,-7789154.535303752,0.05749519874933888,0.43162523685815524,-0.011007075984689947
9069,-23463062.46402525,0.10647920435316804,0.5650302261635765,-0.0031386675619585564
9070,-7426345.486969047,0.1279448608518411,0.2,-0.008059774695547268
9071,6350859.292219311,0.07290061130855234,0.23842892997600384,0.03
9072,4982767.3190407995,0.07039624210988699,0.22338081188045403,0.021358762663451554
9073,-22775716.372460585,0.10868724011809769,0.5207149112504941,-0.007455146530029075
9074,-635727.6320286663,0.04250199168896512,0.2452945481397235,-0.011172357542965902
9075,5944193.911090758,0.046986275557515694,0.2,0.012693068066264936
