total_net_income,default_rate,lgd,margin_shock,A_loss,B_loss,C_loss,WH_loss
-3960431.257190494,0.05671506810036744,0.41071330791609123,0.001061188289457037,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-15541658.16766997,0.06137324412947614,0.6095437046914537,-0.0167350329306086,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
5191501.4092172785,0.030502026632089226,0.23599661750868836,0.005405989372001765,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-21125637.130659122,0.059884004593964875,0.7287150612695257,-0.026451602986024725,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-23694928.269709542,0.09827038274372252,0.477999459870355,-0.03,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
1948366.8274000091,0.026983792617824832,0.5010399969465056,0.005082019066833035,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-21123901.17716277,0.0724880874376419,0.6612417882192987,-0.01799799959172915,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
2564178.8734885976,0.07419557349109215,0.23525587614466517,0.015245840776419679,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-18112532.929062083,0.09487655071633352,0.4530162914876107,-0.015890706957654814,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
2884909.6446856773,0.045077481314535255,0.2,-9.44612086326202e-05,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-6884402.926082132,0.06525351024553941,0.4753060465619494,0.004747374675933287,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
3559285.157810386,0.02586194416675697,0.2,-0.005001391838087503,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-22226015.451482218,0.08367011102079838,0.5353089251874179,-0.028516735151689687,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-6378813.813458586,0.04311284693040116,0.5765356664788133,-0.005380066271670694,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
12584147.511915125,0.02457519154751536,0.2,0.03,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-13297706.852999823,0.0651319217978545,0.7113633006320679,0.00964664621763649,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-18214482.49333848,0.07507650329680952,0.5914766199934449,-0.013487807034268842,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
3479276.880559543,0.026124968262425295,0.3097724017418125,0.0004288811643263157,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-19819582.015167113,0.09307564938124127,0.5924518671756959,0.001318711280339504,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-2167858.5023099557,0.024691412187229075,0.4692772749286447,-0.014915275500177929,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-7521300.936614545,0.0851645338810639,0.2,-0.02526497396134356,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
6306981.024615729,0.05507291747780777,0.2,0.017302056809428937,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-5743297.33463081,0.053919230656230804,0.5267257601079324,0.004093219178839019,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-22506074.809534416,0.0871132088462821,0.6636808000627997,-0.003993676346092904,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
12105446.528590497,0.016320980849499712,0.24687120871517665,0.026373914741470692,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
11764779.320438622,0.02012237056296784,0.3256959547558131,0.03,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
2944654.501737166,0.01,0.32237109957419247,-0.01125307541137784,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-3060991.536185035,0.03759489730404889,0.2614498895997252,-0.021887478011895355,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
-4486862.267194813,0.023309571800145003,0.6272202418498191,-0.018072437913089073,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
1383587.8604928646,0.046963526708782566,0.33038413276944695,0.006786583143203231,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0
