sim,month,outstanding_open,A_open,B_open,C_open,WH_open,A_close,B_close,C_close,WH_close,interest_income,funding_cost_A,funding_cost_B,funding_cost_C,funding_cost_WH,funding_cost_total,net_before_principal,principal_repay_total,principal_repay_A,principal_repay_B,principal_repay_C,principal_repay_WH,default_rate,lgd,margin_shock,default_loss_end
0,21,66666666.666666575,44444444.44444437,14814814.814814817,7407407.407407386,0.0,43333333.333333254,14444444.444444446,7222222.2222222015,7.264316082000732e-09,597838.5780603046,185185.18518518485,86419.75308641978,61728.39506172822,4.9670537312825524e-11,333333.33333333285,264505.2447269718,1666666.6666666667,1111111.1111111108,370370.370370371,185185.18518518494,1.8626451492309597e-10,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,22,64999999.99999991,43333333.333333254,14444444.444444446,7222222.2222222015,7.264316082000732e-09,42222222.22222215,14074074.074074075,7037037.037037017,0.0,582892.6136087971,180555.55555555524,84259.25925925927,60185.185185185015,0.0,324999.9999999995,257892.6136087976,1666666.6666666667,1111111.111111111,370370.3703703709,185185.18518518494,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,23,63333333.33333325,42222222.22222215,14074074.074074075,7037037.037037017,0.0,41111111.111111045,13703703.703703703,6851851.851851832,0.0,567946.6491572894,175925.92592592567,82098.76543209878,58641.975308641806,0.0,316666.6666666662,251279.9824906232,1666666.6666666667,1111111.111111111,370370.3703703709,185185.1851851849,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,24,61666666.66666658,41111111.111111045,13703703.703703703,6851851.851851832,0.0,39999999.99999993,13333333.333333332,6666666.666666647,0.0,553000.6847057819,171296.29629629603,79938.27160493827,57098.7654320986,0.0,308333.3333333329,244667.35137244896,1666666.6666666667,1111111.111111111,370370.3703703709,185185.1851851849,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,25,59999999.99999992,39999999.99999993,13333333.333333332,6666666.666666647,0.0,38888888.88888882,12962962.96296296,6481481.481481463,0.0,538054.7202542742,166666.6666666664,77777.77777777778,55555.555555555395,0.0,299999.9999999996,238054.7202542746,1666666.6666666667,1111111.1111111108,370370.37037037086,185185.18518518494,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,26,58333333.333333254,38888888.88888882,12962962.96296296,6481481.481481463,0.0,37777777.77777772,12592592.59259259,6296296.296296278,0.0,523108.7558027666,162037.0370370368,75617.28395061727,54012.345679012185,0.0,291666.6666666663,231442.08913610032,1666666.6666666667,1111111.111111111,370370.37037037086,185185.1851851849,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,27,56666666.66666659,37777777.77777772,12592592.59259259,6296296.296296278,0.0,36666666.66666661,12222222.222222218,6111111.111111093,0.0,508162.791351259,157407.40740740718,73456.79012345677,52469.13580246898,0.0,283333.3333333329,224829.45801792608,1666666.6666666667,1111111.111111111,370370.37037037074,185185.1851851849,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,28,54999999.999999925,36666666.66666661,12222222.222222218,6111111.111111093,0.0,35555555.5555555,11851851.851851847,5925925.925925909,0.0,493216.8268997514,152777.77777777755,71296.29629629628,50925.925925925774,0.0,274999.9999999996,218216.8268997518,1666666.6666666667,1111111.111111111,370370.37037037074,185185.1851851849,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,29,53333333.33333326,35555555.5555555,11851851.851851847,5925925.925925909,0.0,34444444.444444396,11481481.481481476,5740740.740740724,0.0,478270.8624482437,148148.14814814794,69135.80246913577,49382.71604938257,0.0,266666.6666666663,211604.19578157744,1666666.6666666667,1111111.111111111,370370.3703703707,185185.1851851849,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,30,51666666.6666666,34444444.444444396,11481481.481481476,5740740.740740724,0.0,33333333.333333284,11111111.111111104,5555555.555555539,0.0,463324.8979967361,143518.5185185183,66975.30864197528,47839.50617283936,0.0,258333.33333333296,204991.56466340314,1666666.6666666667,1111111.111111111,370370.3703703707,185185.18518518488,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,31,49999999.99999993,33333333.333333284,11111111.111111104,5555555.555555539,0.0,32222222.22222218,10740740.740740733,5370370.3703703545,0.0,448378.9335452285,138888.8888888887,64814.81481481478,46296.29629629616,0.0,249999.99999999965,198378.93354522885,1666666.6666666667,1111111.1111111112,370370.3703703706,185185.1851851849,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,32,48333333.33333327,32222222.22222218,10740740.740740733,5370370.3703703545,0.0,31111111.111111067,10370370.370370362,5185185.18518517,0.0,433432.9690937209,134259.25925925907,62654.32098765428,44753.08641975295,0.0,241666.6666666663,191766.3024270546,1666666.6666666667,1111111.1111111112,370370.3703703706,185185.1851851849,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,33,46666666.666666605,31111111.111111067,10370370.370370362,5185185.18518517,0.0,29999999.999999955,9999999.99999999,4999999.999999985,0.0,418487.0046422133,129629.62962962945,60493.82716049378,43209.87654320975,0.0,233333.33333333296,185153.67130888032,1666666.6666666667,1111111.111111111,370370.37037037057,185185.1851851849,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,34,44999999.99999994,29999999.999999955,9999999.99999999,4999999.999999985,0.0,28888888.88888885,9629629.62962962,4814814.8148148,0.0,403541.0401907057,124999.99999999984,58333.333333333285,41666.66666666654,0.0,224999.99999999968,178541.040190706,1666666.6666666667,1111111.1111111112,370370.37037037057,185185.18518518488,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,35,43333333.333333276,28888888.88888885,9629629.62962962,4814814.8148148,0.0,27777777.777777746,9259259.259259248,4629629.629629616,0.0,388595.0757391981,120370.37037037023,56172.839506172786,40123.45679012334,0.0,216666.66666666637,171928.4090725317,1666666.6666666667,1111111.1111111115,370370.3703703705,185185.18518518488,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,36,41666666.66666661,27777777.777777746,9259259.259259248,4629629.629629616,0.0,26666666.666666634,8888888.888888877,4444444.444444431,0.0,373649.1112876904,115740.74074074061,54012.34567901228,38580.24691358013,0.0,208333.33333333302,165315.77795435739,1666666.6666666667,1111111.1111111112,370370.3703703704,185185.18518518488,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,37,39999999.99999995,26666666.666666634,8888888.888888877,4444444.444444431,0.0,25555555.55555553,8518518.518518507,4259259.259259246,0.0,358703.1468361828,111111.11111111101,51851.85185185178,37037.03703703693,0.0,199999.99999999974,158703.14683618306,1666666.6666666667,1111111.1111111115,370370.3703703703,185185.18518518485,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,38,38333333.33333328,25555555.55555553,8518518.518518507,4259259.259259246,0.0,24444444.444444418,8148148.148148137,4074074.0740740616,0.0,343757.1823846752,106481.48148148137,49691.3580246913,35493.82716049372,0.0,191666.6666666664,152090.5157180088,1666666.6666666667,1111111.1111111115,370370.3703703704,185185.18518518488,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,39,36666666.66666662,24444444.444444418,8148148.148148137,4074074.0740740616,0.0,23333333.333333306,7777777.777777767,3888888.888888877,0.0,328811.2179331676,101851.85185185174,47530.864197530806,33950.617283950516,0.0,183333.33333333308,145477.8845998345,1666666.6666666667,1111111.1111111112,370370.37037037034,185185.18518518485,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,40,34999999.999999955,23333333.333333306,7777777.777777767,3888888.888888877,0.0,22222222.222222194,7407407.4074073965,3703703.703703692,0.0,313865.25348166,97222.2222222221,45370.37037037031,32407.407407407307,0.0,174999.9999999997,138865.25348166027,1666666.6666666667,1111111.1111111112,370370.37037037034,185185.18518518488,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,41,33333333.333333287,22222222.222222194,7407407.4074073965,3703703.703703692,0.0,21111111.111111086,7037037.037037026,3518518.5185185075,3.539025783538818e-09,298919.2890301523,92592.5925925925,43209.876543209815,30864.1975308641,2.4835268656412762e-11,166666.66666666642,132252.6223634859,1666666.6666666667,1111111.1111111115,370370.3703703704,185185.18518518488,1.8626451492309597e-10,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,42,31666666.66666662,21111111.111111086,7037037.037037026,3518518.5185185075,3.539025783538818e-09,19999999.999999974,6666666.666666656,3333333.333333323,0.0,283973.3245786447,87962.96296296286,41049.382716049324,29320.987654320896,0.0,158333.33333333308,125639.99124531163,1666666.6666666667,1111111.1111111117,370370.37037037034,185185.1851851849,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,43,29999999.99999995,19999999.999999974,6666666.666666656,3333333.333333323,0.0,18888888.88888886,6296296.296296285,3148148.148148138,3.5183297263251406e-09,269027.36012713704,83333.33333333321,38888.888888888825,27777.77777777769,2.4835268656412762e-11,149999.99999999977,119027.36012713728,1666666.6666666667,1111111.1111111112,370370.3703703704,185185.1851851849,2.0696057213677335e-10,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,44,28333333.333333284,18888888.88888886,6296296.296296285,3148148.148148138,3.5183297263251406e-09,17777777.77777775,5925925.925925915,2962962.9629629534,0.0,254081.39567562938,78703.70370370359,36728.39506172833,26234.567901234484,0.0,141666.66666666642,112414.72900896295,1666666.6666666667,1111111.1111111115,370370.3703703704,185185.1851851849,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,45,26666666.666666616,17777777.77777775,5925925.925925915,2962962.9629629534,0.0,16666666.666666634,5555555.555555545,2777777.7777777687,3.492459654808044e-09,239135.43122412174,74074.07407407394,34567.90123456784,24691.35802469128,2.4835268656412762e-11,133333.3333333331,105802.09789078863,1666666.6666666667,1111111.1111111112,370370.3703703704,185185.18518518494,2.328306436538701e-10,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,46,24999999.999999948,16666666.666666634,5555555.555555545,2777777.7777777687,3.492459654808044e-09,15555555.555555522,5185185.185185174,2592592.5925925835,0.0,224189.46677261408,69444.4444444443,32407.407407407347,23148.148148148073,0.0,124999.99999999972,99189.46677261435,1666666.6666666667,1111111.1111111115,370370.37037037045,185185.18518518496,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,47,23333333.33333328,15555555.555555522,5185185.185185174,2592592.5925925835,0.0,14444444.44444441,4814814.814814804,2407407.4074073983,0.0,209243.50232110644,64814.81481481468,30246.91358024685,21604.938271604864,0.0,116666.6666666664,92576.83565444004,1666666.6666666667,1111111.1111111112,370370.37037037045,185185.18518518496,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
